eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificme,Commonme,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude N,Longitude W,Pollutionscore,Endlatitude,Endlongitude,geodeticDatum,countryCode,Comments
N3B,N3B 3,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,,,,,,,,
N3B,N3B 4,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B 5,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B 6,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B 7,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B 8,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Motacilla alba,Pied wagtail,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Erithacus rubecula,European robin,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Cyanistes caeruleus,Blue tit,Species,1,1,Individual,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Coloeus monedula,Western jackdaw,Species,15,15,Flock,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Turdus spp,Unidentified thrush,Genus,1,1,Flock,Present,,,,,,,,
N3B,N3B ,Humanobservation,12/09/2025,Animalia,Vertebrata,Periparus ater,Coal tit,Species,1,1,Flock,Present,,,,,,,,
N3B OoB,N3B OoB 1,Humanobservation,12/09/2025,Animalia,Vertebrata,Coloeus monedula,Western jackdaw,Species,1,1,Individual,Present,,,,,,,,
N2B,N2B 1,Humanobservation,11/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,,,,,
N2B,N2B 2,Humanobservation,11/09/2025,Animalia,Vertebrata,Corvus corone,Carrion crow,Species,2,2,Flock,Present,,,,,,,,
N2B,N2B 3,Humanobservation,11/09/2025,Animalia,Vertebrata,Turdus philomelos,Song thrush,Species,3,3,Flock,Present,,,,,,,,
N2B,N2B 4,Humanobservation,11/09/2025,Animalia,Vertebrata,Unidentified,,Unidentified,1,1,Individual,Present,,,,,,,,
N2B,N2B 5,Humanobservation,11/09/2025,Animalia,Vertebrata,Alauda arvensis,Skylark,Species,2,2,Flock,Present,,,,,,,,
S3B,S3B 1,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,5,5,Flock,Present,,,,,,,,
S3B,S3B 2,Humanobservation,12/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,6,6,Flock,Present,,,,,,,,
S3B,S3B 3,Humanobservation,12/09/2025,Animalia,Vertebrata,Corvus corax,Common raven,Species,2,2,Flock,Present,,,,,,,,
S3B,S3B 4,Humanobservation,12/09/2025,Animalia,Vertebrata,Turdus philomelos,Song thrush,Species,1,1,Individual,Present,,,,,,,,
NB I,NB I 1,Humanobservation,11/09/2025,Animalia,Vertebrata,Alauda arvensis,Skylark,Species,1,1,Individual,Present,,,,,,,,
NB I,NB I 2,Humanobservation,11/09/2025,Animalia,Vertebrata,Falco tinnunculus,Common kestrel,Species,1,1,Individual,Present,,,,,,,,
S2B OoB,S2B OoB 1,Humanobservation,11/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,,,,,
S2B OoB,S2B OoB 2,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,1,1,Individual,Present,,,,,,,,
S2B OoB,S2B OoB 3,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,2,2,Flock,Present,,,,,,,,
S2B OoB,S2B OoB 3,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Erithacus rubecula,European robin,Species,1,1,Individual,Present,,,,,,,,
N1B OoB,N1B OoB 1,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,2,2,Flock,Present,,,,,,,,
N1B OoB,N1B OoB 2,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,,,,,
S1B,S1B 1,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,,,,,
S1B,S1B 2,Humanobservation,10/09/2025,Animalia,Vertebrata,Corvus corax,Common raven,Species,2,2,Flock,Present,,,,,,,,
S1B,S1B 3,Humanobservation,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,2,2,Flock,Present,,,,,,,,
S1B,S1B 4,Humanobservation,10/09/2025,Animalia,Vertebrata,Certhia familiaris,Treecreeper,Species,1,1,Individual,Present,,,,,,,,
S1B,S1B 5,Humanobservation,10/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,2,2,Flock,Present,,,,,,,,
S1B,S1B 6,Humanobservation,10/09/2025,Animalia,Vertebrata,Aegithalos caudatus,Long tailed tit,Species,1,1,Individual,Present,,,,,,,,
SIB OoB,S1B OoB 1,HumanobservationCall,10/09/2025,,,,Nest,,3,3,,,,,,,,,,
SIB OoB,S1B OoB 2,HumanobservationCall,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,1,1,Individual,Present,,,,,,,,
S3CR A,S3CR A1,Audiomoth,45909,Animalia,Chiroptera,Pipistrellus nathusii,Nathusius' pipistrelle,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
S3CR A,S3CR A2,Audiomoth,45909,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
S3CR A,S3CR A3,Audiomoth,45909,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
N3CR A,N3CR A1,Audiomoth,45909,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 42.4494,W005 170579,,N/A,N/A,WGS84,GB,
S3CR B,S3CR B1,Audiomoth,45910,Animalia,Chiroptera,Nyctalus leisleri,Lesser noctule,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
S3CR B,S3CR B2,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
S3CR B,S3CR B3,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 41.9613,W005 170867,,N/A,N/A,WGS84,GB,
S2CR A,S2CR A1,Audiomoth,45910,Animalia,Chiroptera,Nyctalus leisleri,Lesser noctule,Species,1,1,N/A,Present,N55 41.945,W005 17.102,,N/A,N/A,WGS84,GB,
S2CR A,S2CR A2,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus nathusii,Nathusius' pipistrelle,Species,1,1,N/A,Present,N55 41.945,W005 17.102,,N/A,N/A,WGS84,GB,
S2CR A,S2CR A3,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 41.945,W005 17.102,,N/A,N/A,WGS84,GB,
S2CR B,S2CR B1,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus nathusii,Nathusius' pipistrelle,Species,1,1,N/A,Present,N55 41.791,W005 17.028,,N/A,N/A,WGS84,GB,
S2CR B,S2CR B2,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 41.791,W005 17.028,,N/A,N/A,WGS84,GB,
S2CR B,S2CR B3,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 41.791,W005 17.028,,N/A,N/A,WGS84,GB,
S2CR B,S2CR B4,Audiomoth,45910,Animalia,Chiroptera,Plecotus auritus,Brown long-eared bat,Species,1,1,N/A,Present,N55 41.791,W005 17.028,,N/A,N/A,WGS84,GB,
N2CR A,N2CR A1,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 42.4563,W005 16.7708,,N/A,N/A,WGS84,GB,
N2CR A,N2CR A2,Audiomoth,45910,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 42.4563,W005 16.7708,,N/A,N/A,WGS84,GB,
N1CR C,N1CR C1,Audiomoth,45911,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 42.4782,W005 16.5820,,N/A,N/A,WGS84,GB,
N2CR A,N2CR A1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,N55 42.1536,W005 16.1095,,N/A,N/A,WGS84,GB,
N2CR A,N2CR A2,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 42.1536,W005 16.1095,,N/A,N/A,WGS84,GB,
N1CR B,N1CR B1,Audiomoth,11/09/2025,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano pipistrelle,Species,1,1,N/A,Present,N55 42.5095,W005 16.3155,,N/A,N/A,WGS84,GB,
S3CR C,S3CR B1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus nathusii,Nathusius' pipistrelle,Species,1,1,N/A,Present,?,?,,N/A,N/A,WGS84,GB,
S3CR C,S3CR B2,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus pipistrellus,Common pipistrelle,Species,1,1,N/A,Present,?,?,,N/A,N/A,WGS84,GB,
S3TIN A,S3TIN A1,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 42.027,W005 17.134,,,,WGS84,GB,
S3TIN A,S3TIN A2,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 42.027,W005 17.134,,,,WGS84,GB,
S3TIN A,S3TIN A3,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 42.027,W005 17.134,,,,WGS84,GB,
S3TIN B,S3TIN B1,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,3,3,Individual,Present,N55 42.003,W005 17.094,,,,WGS84,GB,
S3TIN B,S3TIN B2,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 42.003,W005 17.094,,,,WGS84,GB,
S3TIN B,S3TIN B3,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 42.003,W005 17.094,,,,WGS84,GB,
S3TIN B,S3TIN B4,Human observation ,10/09/2025,Animalia,Araneae,Linyphiidae,Money spider,Family,1,1,Individual,Present,N55 42.003,W005 17.094,,,,WGS84,GB,
S3TIN C,S3TIN C1,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.979,W005 17.065,,,,WGS84,GB,
S3TIN C,S3TIN C2,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.979,W005 17.065,,,,WGS84,GB,
S3TIN C,S3TIN C3,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.979,W005 17.065,,,,WGS84,GB,
S3TIN C,S3TIN C4,Human observation ,10/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.979,W005 17.065,,,,WGS84,GB,
S3TIN D,S3TIN D1,Human observation ,10/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.949,W005 17.042,,,,WGS84,GB,
S3TIN D,S3TIN D2,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.949,W005 17.042,,,,WGS84,GB,
S3TIN D,S3TIN D3,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 41.949,W005 17.042,,,,WGS84,GB,
S3TIN E,S3TIN E1,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,4,4,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN E,S3TIN E2,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN E,S3TIN E3,Human observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,3,3,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN E,S3TIN E4,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN E,S3TIN E5,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN E,S3TIN E6,Human observation ,10/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.922,W005 17.005,,,,WGS84,GB,
S3TIN F,S3TIN F1,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN F,S3TIN F2,Human observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,2,2,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN F,S3TIN F3,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN F,S3TIN F4,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN F,S3TIN F5,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN F,S3TIN F6,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,3,3,Individual,Present,N55 41.902,W005 16.956,,,,WGS84,GB,
S3TIN G,S3TIN G1,Human observation ,10/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN G,S3TIN G2,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN G,S3TIN G3,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN G,S3TIN G4,Human observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN G,S3TIN G5,Human observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,2,2,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN G,S3TIN G6,Human observation ,10/09/2025,Animalia,Araneae,Leiobunum rotundum,Harverstman spider,Species,1,1,Individual,Present,N55 41.907,W005 16.884,,,,WGS84,GB,
S3TIN H,S3TIN H1,Human observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.862,W005 16.861,,,,WGS84,GB,
S3TIN H,S3TIN H2,Human observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,1,1,Individual,Present,N55 41.862,W005 16.861,,,,WGS84,GB,
S3TIN I,S3TIN I1,Human observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.843,W005 16.821,,,,WGS84,GB,
S3TIN I,S3TIN I2,Human observation ,10/09/2025,Animalia,Araneae,Linyphiidae,Money spider,Family,2,2,Individual,Present,N55 41.843,W005 16.821,,,,WGS84,GB,
S3TIN I,S3TIN I3,Human observation ,10/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,1,1,Individual,Present,N55 41.843,W005 16.821,,,,WGS84,GB,
S3TIN J,S3TIN J1,Human observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,3,3,Individual,Present,N55 41.828,W005 16.810,,,,WGS84,GB,
S2TIP C,S2TIP C1,Human observation ,10/09/2025,Animalia,Coleoptera,Anoplotrupes stercorosus,Dor beetle,Species,1,1,Individual,Present,N55 41.914,W005 17.203,,,,WGS84,GB,
S2TIN A,S2TIN A1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,11,11,Individual,Present,N55 41.935,W005 17.240,,,,WGS84,GB,
S2TIN A,S2TIN A2,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.935,W005 17.240,,,,WGS84,GB,
S2TIN B,S2TIN B1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,13,13,Individual,Present,N55 41.924,W005 17.220,,,,WGS84,GB,
S2TIN B,S2TIN B2,Human observation ,11/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,1,1,Individual,Present,N55 41.924,W005 17.220,,,,WGS84,GB,
S2TIN B,S2TIN B3,Human observation ,11/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,2,2,Individual,Present,N55 41.924,W005 17.220,,,,WGS84,GB,
S2TIN C,S2TIN C1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,19,19,Individual,Present,N55 41.914,W005 17.203,,,,WGS84,GB,
S2TIN C,S2TIN C2,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.914,W005 17.203,,,,WGS84,GB,
S2TIN D,S2TIN D1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,48,48,Individual,Present,N55 41.894,W005 17.194,,,,WGS84,GB,
S2TIN D,S2TIN D2,Human observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.894,W005 17.194,,,,WGS84,GB,
S2TIN D,S2TIN D3,Human observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.894,W005 17.194,,,,WGS84,GB,
S2TIN E,S2TIN E1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,25,25,Individual,Present,N55 41.881,W005 17.177,,,,WGS84,GB,
S2TIN E,S2TIN E2,Human observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.881,W005 17.177,,,,WGS84,GB,
S2TIN E,S2TIN E3,Human observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.881,W005 17.177,,,,WGS84,GB,
S2TIN E,S2TIN E4,Human observation ,11/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,4,4,Individual,Present,N55 41.881,W005 17.177,,,,WGS84,GB,
S2TIN F,S2TIN F1,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.867,W005 17.160,,,,WGS84,GB,
S2TIN G,S2TIN G1,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.857,W005 17.140,,,,WGS84,GB,
S2TIN G,S2TIN G2,Human observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.857,W005 17.140,,,,WGS84,GB,
S2TIN H,S2TIN H1,Human observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.843,W005 17.134,,,,WGS84,GB,
S2TIN H,S2TIN H2,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,3,3,Individual,Present,N55 41.843,W005 17.134,,,,WGS84,GB,
S2TIN I,S2TIN I1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,5,5,Individual,Present,N55 41.828,W005 17.120,,,,WGS84,GB,
S2TIN J,S2TIN J1,Human observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True bug,Order,1,1,Individual,Present,N55 41.817,W005 17.100,,,,WGS84,GB,
S2TIN J,S2TIN J2,Human observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.817,W005 17.100,,,,WGS84,GB,
S1TIN A,S1TIN A1,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB,
S1TIN A,S1TIN A2,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,4,4,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB,
S1TIN A,S1TIN A3,Human observation ,11/09/2025,Animalia,Coleoptera,Geotrupes stercorarius,Dor beetle,Species,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB,
S1TIN A,S1TIN A4,Human observation ,11/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB,
S1TIN A,S1TIN A5,Human observation ,11/09/2025,Animalia,Lepidoptera,Euthrix potatoria,Drinker moth,Species,1,1,Individual,Present,N55 41.870,W005 17.278,,,,WGS84,GB,
S1TIN B,S1TIN B1,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,20,20,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB,
S1TIN B,S1TIN B2,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB,
S1TIN B,S1TIN B3,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB,
S1TIN B,S1TIN B4,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB,
S1TIN B,S1TIN B5,Human observation ,11/09/2025,Animalia,Hemiptera,Aphididae,Aphid,Family,1,1,Individual,Present,N55 41.857,W005 17.272,,,,WGS84,GB,
S1TIN C,S1TIN C1,Human observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB,
S1TIN C,S1TIN C2,Human observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB,
S1TIN C,S1TIN C3,Human observation ,11/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.839,W005 17.280,,,,WGS84,GB,
